title,artist
Separate Ways (Worlds Apart) [feat. Lzzy Hale],Daughtry
Anti-Hero,Taylor Swift
Unholy,Sam Smith & Kim Petras
Heart Like A Truck,Lainey Wilson
Temperature,Sean Paul
Made You Look,Meghan Trainor
Son Of A Sinner,Jelly Roll
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Thought You Should Know,Morgan Wallen
wait in the truck,HARDY & Lainey Wilson
Bloody Mary,Lady Gaga
Thank God,Kane Brown & Katelyn Brown
Unstoppable,Sia
I Ain't Worried,OneRepublic
I'm Good (Blue),David Guetta & Bebe Rexha
Something in the Orange (Z&E's Version),Zach Bryan
As It Was,Harry Styles
Ghost,Tom MacDonald
Rock and a Hard Place,Bailey Zimmerman
One Thing At A Time,Morgan Wallen
You Proof,Morgan Wallen
golden hour,JVKE
Players,Coi Leray
Calm Down,Rema & Selena Gomez
Papa (Version A),Miles Guo
Wasted On You,Morgan Wallen
Mine,Bazzi
I'm Good (Blue),David Guetta & Bebe Rexha
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Hold My Hand,Lady Gaga
Cooler Than Me (Single Mix),Mike Posner
No Horse To Ride,Luke Grimes
CUFF IT,Beyoncé
Fall In Love,Bailey Zimmerman
Gratitude,Brandon Lake
The Kind of Love We Make,Luke Combs
Hold Me Closer,Elton John & Britney Spears
Giddy Up!,Shania Twain
Under the Influence,Chris Brown
Memory Lane,Old Dominion
Kill Bill,SZA
"Going, Going, Gone",Luke Combs
What My World Spins Around,Jordan Davis
About Damn Time,Lizzo
The Summoning,Sleep Token
Bebe Dame,Fuerza Regida & Grupo Frontera
NEED A FAVOR,Jelly Roll
Tennessee Whiskey,Chris Stapleton
Wreckage,Nate Smith
Daydream,Lily Meola
Just Pretend,Bad Omens
Die For You,The Weeknd
Que Vuelvas,Carin Leon & Grupo Frontera
Yes I Do,French Montana
Victoria’s Secret,Jax
Tishomingo,Zach Bryan
New Punani,"French Montana, DJ Drama & Cheeze"
Sober,P!nk
Beautiful Liar,MONSTA X
Never Been to Spain,Three Dog Night
Watermelon Moonshine,Lainey Wilson
Free Smoke (feat. BIG30),"French Montana, DJ Drama & EST Gee"
Just Wanna Rock,Lil Uzi Vert
Chit Chat (feat. DJ Drama),"French Montana, Smooky MarGielaa & A$AP Rocky"
Shivers,Ed Sheeran
How Do I Say Goodbye,Dean Lewis
Igloo,"French Montana, DJ Drama & Rob49"
She Had Me At Heads Carolina,Cole Swindell
Build a Boat,Colton Dixon
Goodness of God (Live),CeCe Winans
Chasin' You,Morgan Wallen
Something in the Orange,Zach Bryan
Perfectly Loved (feat. TobyMac),Rachael Lampa
Run Away to Mars,TALK
In the Air Tonight,Phil Collins
Forget Me,Lewis Capaldi
Addicted to You,"French Montana, DJ Drama & Cheeze"
Going Yeezy,"French Montana, DJ Drama & Cheeze"
Easier Said with Rum,Old Dominion
Holding Out for a Hero,Adam Lambert
The Oath,"Chinx, DJ Drama & French Montana"
Tennessee Orange,Megan Moroney
I'm a Believer,The Monkees
Choose You,"French Montana, DJ Drama & Jeremih"
Intro (feat. Cheeze),"French Montana, Stove God Cooks & DJ Drama"
Can't Stop Won't Stop (Remix) [feat. Kodak Black],"King Combs, French Montana & DJ Drama"
Nothing Left To Lose,Everything But the Girl
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Forever,"French Montana, DJ Drama & Mr.Chicken"
Way of the Triune God (Hallelujah Version),Tyler Childers
Kiss the Girl,Brent Morgan
You Say,Lauren Daigle
Not So Bad,French Montana & DJ Drama
Project Baby (Remix),"Vory, DJ Drama & French Montana"
Hey There Delilah,Plain White T's
'Til You Can't,Cody Johnson
Calm Down,Rema
RZA,"French Montana, DJ Drama & Benny the Butcher"
Yes I Do,French Montana
Fenty,French Montana & NAV
